Weather_surrogate_key,Station_Name,Accurate_Episode_Date,Daily_High_Temperature,Daily_Low_Temperature,Precipitation
0,TORONTO INTL A,2020-07-01,29.9,18.9,0.0
1,TORONTO INTL A,2020-07-02,35.5,21.1,0.0
2,TORONTO INTL A,2020-07-03,32.4,22.3,0.0
3,TORONTO INTL A,2020-07-04,32.0,20.2,0.0
4,TORONTO INTL A,2020-07-05,34.0,18.5,0.0
5,TORONTO INTL A,2020-07-06,31.3,20.6,0.0
6,TORONTO INTL A,2020-07-07,34.0,21.6,0.0
7,TORONTO INTL A,2020-07-08,34.6,22.2,6.2
8,TORONTO INTL A,2020-07-09,34.3,22.5,0.0
9,TORONTO INTL A,2020-07-10,32.3,20.6,16.6
10,TORONTO INTL A,2020-07-11,28.4,20.1,21.0
11,TORONTO INTL A,2020-07-12,27.9,18.2,0.0
12,TORONTO INTL A,2020-07-13,25.3,18.0,1.0
13,TORONTO INTL A,2020-07-14,26.8,17.4,0.0
14,TORONTO INTL A,2020-07-15,28.2,18.4,0.0
15,TORONTO INTL A,2020-07-16,25.6,21.7,2.8
16,TORONTO INTL A,2020-07-17,31.4,20.1,0.0
17,TORONTO INTL A,2020-07-18,33.2,20.1,0.0
18,TORONTO INTL A,2020-07-19,31.2,21.9,9.0
19,TORONTO INTL A,2020-07-20,29.6,17.8,0.0
20,TORONTO INTL A,2020-07-21,26.2,15.3,0.0
21,TORONTO INTL A,2020-07-22,26.7,20.2,9.6
22,TORONTO INTL A,2020-07-23,27.6,18.4,0.0
23,TORONTO INTL A,2020-07-24,27.6,17.6,0.0
24,TORONTO INTL A,2020-07-25,30.0,17.8,0.0
25,TORONTO INTL A,2020-07-26,33.5,19.6,0.0
26,TORONTO INTL A,2020-07-27,32.7,21.8,0.8
27,TORONTO INTL A,2020-07-28,31.1,17.5,0.0
28,TORONTO INTL A,2020-07-29,30.7,19.5,0.6
29,TORONTO INTL A,2020-07-30,28.1,16.9,0.0
30,TORONTO INTL A,2020-07-31,28.8,18.1,0.0
31,TORONTO INTL A,2020-08-01,30.0,18.7,3.8
32,TORONTO INTL A,2020-08-02,28.4,19.5,37.0
33,TORONTO INTL A,2020-08-03,24.9,17.1,26.8
34,TORONTO INTL A,2020-08-04,24.6,17.7,10.4
35,TORONTO INTL A,2020-08-05,23.9,14.2,0.0
36,TORONTO INTL A,2020-08-06,23.9,13.3,0.0
37,TORONTO INTL A,2020-08-07,25.6,14.5,0.0
38,TORONTO INTL A,2020-08-08,27.1,15.9,0.0
39,TORONTO INTL A,2020-08-09,30.6,20.4,0.0
40,TORONTO INTL A,2020-08-10,32.1,21.8,0.0
41,TORONTO INTL A,2020-08-11,28.9,15.6,0.0
42,TORONTO INTL A,2020-08-12,29.8,15.1,0.0
43,TORONTO INTL A,2020-08-13,28.9,19.0,0.0
44,TORONTO INTL A,2020-08-14,28.6,20.8,0.0
45,TORONTO INTL A,2020-08-15,27.9,17.1,0.0
46,TORONTO INTL A,2020-08-16,25.8,18.5,1.0
47,TORONTO INTL A,2020-08-17,27.4,15.0,4.8
48,TORONTO INTL A,2020-08-18,25.0,14.1,0.8
49,TORONTO INTL A,2020-08-19,23.7,11.3,0.0
50,TORONTO INTL A,2020-08-20,27.6,11.0,0.0
51,TORONTO INTL A,2020-08-21,30.6,17.4,0.0
52,TORONTO INTL A,2020-08-22,31.1,18.9,0.0
53,TORONTO INTL A,2020-08-23,31.7,18.4,0.0
54,TORONTO INTL A,2020-08-24,32.7,20.4,0.0
55,TORONTO INTL A,2020-08-25,28.0,17.0,0.0
56,TORONTO INTL A,2020-08-26,21.2,14.1,4.4
57,TORONTO INTL A,2020-08-27,30.2,17.9,0.0
58,TORONTO INTL A,2020-08-28,24.0,16.7,0.2
59,TORONTO INTL A,2020-08-29,27.0,16.2,1.8
60,TORONTO INTL A,2020-08-30,23.7,13.9,0.0
61,TORONTO INTL A,2020-08-31,25.2,14.5,0.0
62,TORONTO INTL A,2020-09-01,28.1,18.6,10.4
63,TORONTO INTL A,2020-09-02,28.3,17.8,1.6
64,TORONTO INTL A,2020-09-03,28.6,14.9,2.0
65,TORONTO INTL A,2020-09-04,23.0,12.4,0.2
66,TORONTO INTL A,2020-09-05,21.1,11.5,0.0
67,TORONTO INTL A,2020-09-06,22.0,9.4,0.0
68,TORONTO INTL A,2020-09-07,25.2,15.6,5.2
69,TORONTO INTL A,2020-09-08,16.5,14.4,0.0
70,TORONTO INTL A,2020-09-09,18.5,13.6,0.0
71,TORONTO INTL A,2020-09-10,19.8,13.0,0.0
72,TORONTO INTL A,2020-09-11,17.6,11.6,0.0
73,TORONTO INTL A,2020-09-12,21.4,10.4,0.0
74,TORONTO INTL A,2020-09-13,26.1,13.8,3.8
75,TORONTO INTL A,2020-09-14,17.5,6.7,0.0
76,TORONTO INTL A,2020-09-15,19.8,5.0,0.0
77,TORONTO INTL A,2020-09-16,25.4,14.1,0.0
78,TORONTO INTL A,2020-09-17,19.2,7.5,0.0
79,TORONTO INTL A,2020-09-18,15.9,5.3,0.0
80,TORONTO INTL A,2020-09-19,14.4,3.1,0.0
81,TORONTO INTL A,2020-09-20,16.8,9.1,0.0
82,TORONTO INTL A,2020-09-21,19.5,4.1,0.0
83,TORONTO INTL A,2020-09-22,21.5,6.7,0.0
84,TORONTO INTL A,2020-09-23,27.6,12.2,0.0
85,TORONTO INTL A,2020-09-24,25.1,11.8,2.0
86,TORONTO INTL A,2020-09-25,24.4,14.1,0.0
87,TORONTO INTL A,2020-09-26,25.9,12.0,0.0
88,TORONTO INTL A,2020-09-27,27.2,19.6,0.0
89,TORONTO INTL A,2020-09-28,26.7,14.7,8.4
90,TORONTO INTL A,2020-09-29,19.0,12.8,2.2
91,TORONTO INTL A,2020-09-30,19.0,10.1,5.0
92,TORONTO INTL A,2020-10-01,17.9,8.3,0.0
93,TORONTO INTL A,2020-10-02,15.5,5.5,0.0
94,TORONTO INTL A,2020-10-03,13.0,3.3,4.0
95,TORONTO INTL A,2020-10-04,11.4,5.7,3.2
96,TORONTO INTL A,2020-10-05,15.1,7.2,0.0
97,TORONTO INTL A,2020-10-06,19.5,7.8,0.0
98,TORONTO INTL A,2020-10-07,18.5,9.2,2.6
99,TORONTO INTL A,2020-10-08,16.5,5.3,0.8
100,TORONTO INTL A,2020-10-09,18.3,2.8,0.0
101,TORONTO INTL A,2020-10-10,22.1,7.8,0.4
102,TORONTO INTL A,2020-10-11,11.7,5.4,0.0
103,TORONTO INTL A,2020-10-12,16.4,7.6,0.2
104,TORONTO INTL A,2020-10-13,18.0,10.1,7.8
105,TORONTO INTL A,2020-10-14,17.4,6.3,0.0
106,TORONTO INTL A,2020-10-15,17.2,6.9,11.6
107,TORONTO INTL A,2020-10-16,12.2,2.6,0.0
108,TORONTO INTL A,2020-10-17,13.5,2.6,0.0
109,TORONTO INTL A,2020-10-18,14.2,6.3,2.0
110,TORONTO INTL A,2020-10-19,8.1,5.9,8.6
111,TORONTO INTL A,2020-10-20,11.5,6.0,1.2
112,TORONTO INTL A,2020-10-21,17.2,7.1,5.0
113,TORONTO INTL A,2020-10-22,12.3,8.5,2.0
114,TORONTO INTL A,2020-10-23,24.7,8.2,2.6
115,TORONTO INTL A,2020-10-24,8.4,2.6,0.0
116,TORONTO INTL A,2020-10-25,6.4,1.8,0.0
