Special_Measures_surrogate_key,Title,Description,Tag_1,Tag_2,Start_date,End_date
111,Stage 3,Nearly all businesses and public spaces reopened with public health advice and workplace safety guidance necessary to keep everyone safe.,Businesses open,Less restrictions,7/17/2020,9/24/2020
112,Public events cancelled,In-person and major outdoor events cancelled for 2020 in Ontario.,Contact restrictions,Personal gathering restrictions,7/1/2020,10/31/2020
113,Public school closures,Schools closed for the summer and online only for summer classes.,Schools closed,Online learning,3/12/2020,6/30/2020
114,Quebec travel restriction,Non-essential travel ban for Ottawa drivers entering Quebec through a series of bridges from the City of Ottawa to Gatineau.,Travel restrictions,Non-essential travel ban,4/1/2020,5/18/2020
115,U.S. border shut down,U.S. and Canada border officially closed to non-essential travel.,Travel restrictions,Non-essential travel ban,3/18/2020,10/31/2020
116,Provincial parks shut down,Ontario provincial parks shut down to protect the health of employees and visitors.,Outdoor restrictions,Contact restrictions,3/19/2020,5/11/2020
117,Outdoor amenities shut down,"Further steps to protect the health and safety of all Ontarians by closing outdoor recreational amenities, like sports fields and playgrounds.",Outdoor restrictions,Contact restrictions,3/30/2020,4/12/2020
118,Stage 2 Modified,"Closure of indoor dining at restaurants and bars, as well as the closure of gyms, casinos, cinemas, and performing arts centres. Gathering limits at organized public events, real estate open houses, meeting and event spaces, tour and guide services, and in-person teaching events will be limited to 10 people indoors and 25 outdoors. Team sports will be limited to training sessions only.",Non-essential business restrictions,Second wave lockdown,10/10/2020,11/16/2020
119,Stage 3 Modified,"Non-essential businesses limited such as restaurants, bars and other food and drink businesses to stop serving alcohol at 11 p.m and close between midnight and 5 a.m. All strip clubs were ordered fully closed.",Non-essential business restrictions,Second wave lockdown,9/25/2020,10/9/2020
120,Private gathering limits,The number of people allowed at private gathering limits to 10 indoors and 25 outdoors.,Contact restrictions,Personal gathering restrictions,9/17/2020,10/31/2020
121,Mask mandate declared,A province-wide mandate on the wearing of face masks when social distancing is not possible.,Masks,Mandate,10/3/2020,10/31/2020
122,State of Emergency,Emergency pandemic orders for Ontario,Orders,Mandate,7/1/2020,10/31/2020
123,Public schools reopen,"Elementary schools (Kindergarten to Grade 8) will reopen provincewide, with in-class instruction five days a week. Secondary schools with lower risk will reopen with a normal daily schedule, five days a week, while most secondary schools will start the school year in an adapted model of part-time attendance with class cohorts of up to 15 students alternating between attending in-person and online. Students from Grade 4-12 and school staff will be required to wear masks.",Schools open,Less restrictions,9/14/2020,10/31/2020
124,Occupance size increase,"Increase in the number of people indoor sports, fitness and recreation facilities to 50 people per room.",Businesses open,Less restrictions,8/14/2020,10/9/2020
125,Stage 2,"Some non-essential businesses reopen such as hairdressers and barbers, restaurant patios and more outdoor spaces. Ontarians will be allowed to gather in groups of 10 — up from the previous five — as well as places of worship will be allowed to reopen, however with physical distancing measures in place and allowing no more than 30 per cent capacity.",Businesses open,Less restrictions,6/12/2020,7/16/2020
