Weather_Surrogate_Key,Station_Name,Daily_High_Temperature,Daily_Low_Temperature,Precipitation
0,OTTAWA CDA,32.5,17.5,0.0
1,OTTAWA CDA,32.0,21.0,0.8
2,OTTAWA CDA,32.0,20.5,0.0
3,OTTAWA CDA,30.5,17.5,0.6
4,OTTAWA CDA,30.0,15.5,0.0
5,OTTAWA CDA,31.0,14.0,0.0
6,OTTAWA CDA,34.5,17.0,1.8
7,OTTAWA CDA,33.0,21.5,0.0
8,OTTAWA CDA,36.0,21.0,2.0
9,OTTAWA CDA,37.0,20.5,3.0
10,OTTAWA CDA,28.5,21.5,5.1
11,OTTAWA CDA,27.5,20.0,0.0
12,OTTAWA CDA,27.0,17.0,0.0
13,OTTAWA CDA,28.5,17.0,0.0
14,OTTAWA CDA,28.0,16.0,0.0
15,OTTAWA CDA,28.0,18.0,6.9
16,OTTAWA CDA,32.0,20.0,0.0
17,OTTAWA CDA,33.0,18.0,24.0
18,OTTAWA CDA,32.0,21.0,7.2
19,OTTAWA CDA,29.0,20.0,0.0
20,OTTAWA CDA,26.0,16.0,0.0
21,OTTAWA CDA,26.0,16.5,4.4
22,OTTAWA CDA,26.5,18.0,0.0
23,OTTAWA CDA,30.0,15.0,0.0
24,OTTAWA CDA,32.0,14.5,0.0
25,OTTAWA CDA,35.0,21.5,0.8
26,OTTAWA CDA,32.0,23.5,0.6
27,OTTAWA CDA,31.5,21.0,3.8
28,OTTAWA CDA,29.0,17.5,5.6
29,OTTAWA CDA,26.5,15.5,13.8
30,OTTAWA CDA,29.0,15.5,0.0
31,OTTAWA CDA,30.0,15.5,0.0
32,OTTAWA CDA,24.0,19.0,36.0
33,OTTAWA CDA,25.0,16.5,2.0
34,OTTAWA CDA,21.0,17.0,22.2
35,OTTAWA CDA,23.0,17.5,1.0
36,OTTAWA CDA,25.0,13.5,0.0
37,OTTAWA CDA,27.0,12.5,0.0
38,OTTAWA CDA,29.0,13.5,0.0
39,OTTAWA CDA,23.0,19.0,1.2
40,OTTAWA CDA,30.0,17.5,1.0
41,OTTAWA CDA,31.5,18.5,13.2
42,OTTAWA CDA,30.0,19.5,0.0
43,OTTAWA CDA,29.5,15.5,0.0
44,OTTAWA CDA,28.0,17.0,0.0
45,OTTAWA CDA,28.0,15.0,0.0
46,OTTAWA CDA,28.0,17.0,41.8
47,OTTAWA CDA,25.5,17.0,9.0
48,OTTAWA CDA,23.0,14.0,2.4
49,OTTAWA CDA,21.0,12.5,0.0
50,OTTAWA CDA,20.0,9.0,1.9
51,OTTAWA CDA,23.5,16.5,0.0
52,OTTAWA CDA,27.0,15.0,1.4
53,OTTAWA CDA,28.0,19.0,26.4
54,OTTAWA CDA,28.5,18.0,1.0
55,OTTAWA CDA,23.5,20.0,0.0
56,OTTAWA CDA,19.5,9.0,0.4
57,OTTAWA CDA,17.0,9.5,3.6
58,OTTAWA CDA,22.0,11.5,20.0
59,OTTAWA CDA,16.0,14.0,5.0
60,OTTAWA CDA,20.0,12.0,1.2
61,OTTAWA CDA,21.5,8.0,0.0
62,OTTAWA CDA,25.0,13.0,0.0
63,OTTAWA CDA,27.0,19.5,7.0
64,OTTAWA CDA,24.5,14.0,2.0
65,OTTAWA CDA,21.0,12.0,0.4
66,OTTAWA CDA,21.0,9.0,2.4
67,OTTAWA CDA,20.5,8.5,0.0
68,OTTAWA CDA,25.0,11.0,1.0
69,OTTAWA CDA,19.0,10.0,3.2
70,OTTAWA CDA,16.0,12.5,3.2
71,OTTAWA CDA,15.5,12.0,0.0
72,OTTAWA CDA,17.5,8.5,0.0
73,OTTAWA CDA,21.0,5.0,1.4
74,OTTAWA CDA,22.0,14.5,6.4
75,OTTAWA CDA,15.0,9.5,0.0
76,OTTAWA CDA,16.5,2.5,0.0
77,OTTAWA CDA,22.5,8.0,0.0
78,OTTAWA CDA,14.5,9.5,0.0
79,OTTAWA CDA,14.0,3.0,0.0
80,OTTAWA CDA,13.5,1.5,0.0
81,OTTAWA CDA,16.0,4.0,0.0
82,OTTAWA CDA,18.0,1.0,0.0
83,OTTAWA CDA,19.5,2.0,0.0
84,OTTAWA CDA,24.0,12.0,0.0
85,OTTAWA CDA,17.5,13.5,0.0
86,OTTAWA CDA,18.0,10.5,0.0
87,OTTAWA CDA,26.0,8.0,0.0
88,OTTAWA CDA,26.0,16.0,0.0
89,OTTAWA CDA,27.5,14.5,9.2
90,OTTAWA CDA,19.0,15.5,12.6
91,OTTAWA CDA,17.0,10.5,3.6
92,OTTAWA CDA,19.0,9.5,0.6
93,OTTAWA CDA,12.5,8.0,8.6
94,OTTAWA CDA,13.5,4.0,0.0
95,OTTAWA CDA,15.0,5.0,3.9
96,OTTAWA CDA,13.0,8.5,0.0
97,OTTAWA CDA,16.5,6.5,3.2
98,OTTAWA CDA,17.0,9.5,15.8
99,OTTAWA CDA,10.5,4.5,0.0
100,OTTAWA CDA,18.0,-1.0,0.0
101,OTTAWA CDA,23.0,8.0,0.0
102,OTTAWA CDA,11.0,2.0,0.0
103,OTTAWA CDA,14.0,1.5,9.4
104,OTTAWA CDA,13.0,7.5,4.8
105,OTTAWA CDA,16.5,3.5,0.0
106,OTTAWA CDA,17.5,7.5,9.4
107,OTTAWA CDA,11.0,8.5,0.0
108,OTTAWA CDA,14.5,-1.0,0.0
109,OTTAWA CDA,14.0,3.5,0.4
110,OTTAWA CDA,7.5,6.0,11.8
111,OTTAWA CDA,9.0,4.0,6.8
112,OTTAWA CDA,15.5,3.5,11.8
113,OTTAWA CDA,12.0,3.0,0.0
114,OTTAWA CDA,25.0,9.5,3.6
115,OTTAWA CDA,8.0,4.0,0.0
116,OTTAWA CDA,6.5,-1.0,0.0
117,OTTAWA CDA,3.5,0.0,6.0
118,OTTAWA CDA,3.5,-2.0,0.4
119,OTTAWA CDA,9.5,-2.0,0.0
120,OTTAWA CDA,6.0,4.5,0.0
121,OTTAWA CDA,4.5,-4.5,0.0
122,OTTAWA CDA,7.0,-5.0,0.0
123,TORONTO INTL A,29.9,18.9,0.0
124,TORONTO INTL A,35.5,21.1,0.0
125,TORONTO INTL A,32.4,22.3,0.0
126,TORONTO INTL A,32.0,20.2,0.0
127,TORONTO INTL A,34.0,18.5,0.0
128,TORONTO INTL A,31.3,20.6,0.0
129,TORONTO INTL A,34.0,21.6,0.0
130,TORONTO INTL A,34.6,22.2,6.2
131,TORONTO INTL A,34.3,22.5,0.0
132,TORONTO INTL A,32.3,20.6,16.6
133,TORONTO INTL A,28.4,20.1,21.0
134,TORONTO INTL A,27.9,18.2,0.0
135,TORONTO INTL A,25.3,18.0,1.0
136,TORONTO INTL A,26.8,17.4,0.0
137,TORONTO INTL A,28.2,18.4,0.0
138,TORONTO INTL A,25.6,21.7,2.8
139,TORONTO INTL A,31.4,20.1,0.0
140,TORONTO INTL A,33.2,20.1,0.0
141,TORONTO INTL A,31.2,21.9,9.0
142,TORONTO INTL A,29.6,17.8,0.0
143,TORONTO INTL A,26.2,15.3,0.0
144,TORONTO INTL A,26.7,20.2,9.6
145,TORONTO INTL A,27.6,18.4,0.0
146,TORONTO INTL A,27.6,17.6,0.0
147,TORONTO INTL A,30.0,17.8,0.0
148,TORONTO INTL A,33.5,19.6,0.0
149,TORONTO INTL A,32.7,21.8,0.8
150,TORONTO INTL A,31.1,17.5,0.0
151,TORONTO INTL A,30.7,19.5,0.6
152,TORONTO INTL A,28.1,16.9,0.0
153,TORONTO INTL A,28.8,18.1,0.0
154,TORONTO INTL A,30.0,18.7,3.8
155,TORONTO INTL A,28.4,19.5,37.0
156,TORONTO INTL A,24.9,17.1,26.8
157,TORONTO INTL A,24.6,17.7,10.4
158,TORONTO INTL A,23.9,14.2,0.0
159,TORONTO INTL A,23.9,13.3,0.0
160,TORONTO INTL A,25.6,14.5,0.0
161,TORONTO INTL A,27.1,15.9,0.0
162,TORONTO INTL A,30.6,20.4,0.0
163,TORONTO INTL A,32.1,21.8,0.0
164,TORONTO INTL A,28.9,15.6,0.0
165,TORONTO INTL A,29.8,15.1,0.0
166,TORONTO INTL A,28.9,19.0,0.0
167,TORONTO INTL A,28.6,20.8,0.0
168,TORONTO INTL A,27.9,17.1,0.0
169,TORONTO INTL A,25.8,18.5,1.0
170,TORONTO INTL A,27.4,15.0,4.8
171,TORONTO INTL A,25.0,14.1,0.8
172,TORONTO INTL A,23.7,11.3,0.0
173,TORONTO INTL A,27.6,11.0,0.0
174,TORONTO INTL A,30.6,17.4,0.0
175,TORONTO INTL A,31.1,18.9,0.0
176,TORONTO INTL A,31.7,18.4,0.0
177,TORONTO INTL A,32.7,20.4,0.0
178,TORONTO INTL A,28.0,17.0,0.0
179,TORONTO INTL A,21.2,14.1,4.4
180,TORONTO INTL A,30.2,17.9,0.0
181,TORONTO INTL A,24.0,16.7,0.2
182,TORONTO INTL A,27.0,16.2,1.8
183,TORONTO INTL A,23.7,13.9,0.0
184,TORONTO INTL A,25.2,14.5,0.0
185,TORONTO INTL A,28.1,18.6,10.4
186,TORONTO INTL A,28.3,17.8,1.6
187,TORONTO INTL A,28.6,14.9,2.0
188,TORONTO INTL A,23.0,12.4,0.2
189,TORONTO INTL A,21.1,11.5,0.0
190,TORONTO INTL A,22.0,9.4,0.0
191,TORONTO INTL A,25.2,15.6,5.2
192,TORONTO INTL A,16.5,14.4,0.0
193,TORONTO INTL A,18.5,13.6,0.0
194,TORONTO INTL A,19.8,13.0,0.0
195,TORONTO INTL A,17.6,11.6,0.0
196,TORONTO INTL A,21.4,10.4,0.0
197,TORONTO INTL A,26.1,13.8,3.8
198,TORONTO INTL A,17.5,6.7,0.0
199,TORONTO INTL A,19.8,5.0,0.0
200,TORONTO INTL A,25.4,14.1,0.0
201,TORONTO INTL A,19.2,7.5,0.0
202,TORONTO INTL A,15.9,5.3,0.0
203,TORONTO INTL A,14.4,3.1,0.0
204,TORONTO INTL A,16.8,9.1,0.0
205,TORONTO INTL A,19.5,4.1,0.0
206,TORONTO INTL A,21.5,6.7,0.0
207,TORONTO INTL A,27.6,12.2,0.0
208,TORONTO INTL A,25.1,11.8,2.0
209,TORONTO INTL A,24.4,14.1,0.0
210,TORONTO INTL A,25.9,12.0,0.0
211,TORONTO INTL A,27.2,19.6,0.0
212,TORONTO INTL A,26.7,14.7,8.4
213,TORONTO INTL A,19.0,12.8,2.2
214,TORONTO INTL A,19.0,10.1,5.0
215,TORONTO INTL A,17.9,8.3,0.0
216,TORONTO INTL A,15.5,5.5,0.0
217,TORONTO INTL A,13.0,3.3,4.0
218,TORONTO INTL A,11.4,5.7,3.2
219,TORONTO INTL A,15.1,7.2,0.0
220,TORONTO INTL A,19.5,7.8,0.0
221,TORONTO INTL A,18.5,9.2,2.6
222,TORONTO INTL A,16.5,5.3,0.8
223,TORONTO INTL A,18.3,2.8,0.0
224,TORONTO INTL A,22.1,7.8,0.4
225,TORONTO INTL A,11.7,5.4,0.0
226,TORONTO INTL A,16.4,7.6,0.2
227,TORONTO INTL A,18.0,10.1,7.8
228,TORONTO INTL A,17.4,6.3,0.0
229,TORONTO INTL A,17.2,6.9,11.6
230,TORONTO INTL A,12.2,2.6,0.0
231,TORONTO INTL A,13.5,2.6,0.0
232,TORONTO INTL A,14.2,6.3,2.0
233,TORONTO INTL A,8.1,5.9,8.6
234,TORONTO INTL A,11.5,6.0,1.2
235,TORONTO INTL A,17.2,7.1,5.0
236,TORONTO INTL A,12.3,8.5,2.0
237,TORONTO INTL A,24.7,8.2,2.6
238,TORONTO INTL A,8.4,2.6,0.0
239,TORONTO INTL A,6.4,1.8,0.0
240,TORONTO INTL A,8.1,2.4,1.6
241,TORONTO INTL A,7.3,1.5,5.2
242,TORONTO INTL A,11.8,2.4,0.0
243,TORONTO INTL A,10.8,2.1,1.6
244,TORONTO INTL A,2.3,-4.3,0.0
245,TORONTO INTL A,6.7,-5.4,0.0
